Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Bench.Database.LSMTree.Internal.IndexCompact/searches/searches with 0-bit  rfprec,5.576378990597105e-5,5.5376826514877135e-5,5.6258992538685886e-5,1.4449711534759563e-6,1.1956672569063679e-6,1.7051815530412485e-6
Bench.Database.LSMTree.Internal.IndexCompact/searches/searches with 16-bit rfprec,1.6598736728109534e-5,1.650890547979488e-5,1.678394239449162e-5,4.0910201610133684e-7,2.2584759140252646e-7,7.184415631444201e-7
Bench.Database.LSMTree.Internal.IndexCompact/construction/construction with 0-bit  rfprec and chunk size 100,4.268968255933952e-5,4.261807131765914e-5,4.282111104574999e-5,3.0284126825648356e-7,2.0915718842402005e-7,4.86704508525306e-7
Bench.Database.LSMTree.Internal.IndexCompact/construction/construction with 16-bit rfprec and chunk size 100,1.1446751337417181e-4,1.1410341623067333e-4,1.1511531176726706e-4,1.5768145916956775e-6,9.98185577353015e-7,2.3163044513334548e-6
Bench.Database.LSMTree.Internal.IndexCompact/construction/unsafeWriteRange-1k,9.446915993933178e-8,9.424756479596199e-8,9.481515007346787e-8,9.330507608380205e-10,6.46093211779526e-10,1.4016031427364875e-9
Bench.Database.LSMTree.Internal.IndexCompact/construction/unsafeWriteRange-10k,5.808824453257015e-7,5.796182247268876e-7,5.832418452394588e-7,5.545271063586716e-9,3.933908390819654e-9,7.628441143670518e-9
Bench.Database.LSMTree.Internal.IndexCompact/non-uniformity/construct appsWithNearDups,4.408173545725592e-5,4.3997841759039085e-5,4.420905406325642e-5,3.4276019633210055e-7,2.5189419271202873e-7,4.5576704858813266e-7
Bench.Database.LSMTree.Internal.IndexCompact/non-uniformity/construct appsWithoutNearDups,2.0795396172975488e-5,2.0732459117173994e-5,2.0879447322402905e-5,2.416982260824437e-7,1.745827790705769e-7,3.261045815135857e-7
Bench.Database.LSMTree.Internal.IndexCompact/non-uniformity/search appsWithNearDups,4.175884347878413e-5,4.1493774318703886e-5,4.203682352387194e-5,9.168221951923416e-7,7.074964520913187e-7,1.224769913764197e-6
Bench.Database.LSMTree.Internal.IndexCompact/non-uniformity/search appsWithoutNearDups,3.7592610143685035e-5,3.717776576019461e-5,3.829377245492747e-5,1.6641108409333422e-6,1.073591667825706e-6,2.8418248602586115e-6
