Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Bench.Database.LSMTree.Internal.IndexCompact/searches/searches with 0-bit  rfprec,5.472203349079894e-5,5.443371783382932e-5,5.5175237543809465e-5,1.2298741653950279e-6,8.321942839416003e-7,2.064535197543369e-6
Bench.Database.LSMTree.Internal.IndexCompact/searches/searches with 16-bit rfprec,1.650097336846322e-5,1.646574790749624e-5,1.6541698786550887e-5,1.2928197487130146e-7,1.042738895152918e-7,1.7692158937978543e-7
Bench.Database.LSMTree.Internal.IndexCompact/construction/construction with 0-bit  rfprec and chunk size 100,4.271656761844693e-5,4.2602387476821655e-5,4.28876593518668e-5,4.670179449954055e-7,3.377206145776934e-7,6.560534242210535e-7
Bench.Database.LSMTree.Internal.IndexCompact/construction/construction with 16-bit rfprec and chunk size 100,1.1508516529947012e-4,1.1468242681705727e-4,1.1564046924166295e-4,1.558743734714736e-6,1.1926984373937155e-6,2.141653702932924e-6
Bench.Database.LSMTree.Internal.IndexCompact/construction/unsafeWriteRange-1k,9.428033558498612e-8,9.405589829845179e-8,9.460816567358946e-8,8.972725615214807e-10,6.398745710452659e-10,1.191636137981004e-9
Bench.Database.LSMTree.Internal.IndexCompact/construction/unsafeWriteRange-10k,5.804506418333985e-7,5.795212134748502e-7,5.821175718142484e-7,3.905599765999695e-9,2.6040092218307453e-9,5.863846242603487e-9
Bench.Database.LSMTree.Internal.IndexCompact/non-uniformity/construct appsWithNearDups,4.453208381943346e-5,4.435573319803498e-5,4.48362115603246e-5,7.88985587441794e-7,5.156146081505498e-7,1.210216608829146e-6
Bench.Database.LSMTree.Internal.IndexCompact/non-uniformity/construct appsWithoutNearDups,2.196910203454476e-5,2.1907148320257367e-5,2.2064260459472025e-5,2.70658683505245e-7,1.9646544401908913e-7,3.552257857345678e-7
Bench.Database.LSMTree.Internal.IndexCompact/non-uniformity/search appsWithNearDups,4.369564138167724e-5,4.349090548946183e-5,4.404311087403223e-5,9.109745301918865e-7,6.338634073504871e-7,1.5856837044489627e-6
Bench.Database.LSMTree.Internal.IndexCompact/non-uniformity/search appsWithoutNearDups,3.821855910660137e-5,3.789362270298398e-5,3.8549409311025035e-5,1.1112709094735406e-6,9.04366342538367e-7,1.319555859825504e-6
